origin_trct_2020,"10 (Champaign, IL)","106.04 (Champaign, IL)","109.01 (Champaign, IL)","109.02 (Champaign, IL)","11 (Champaign, IL)","110.01 (Champaign, IL)","110.02 (Champaign, IL)","111 (Champaign, IL)","12.01 (Champaign, IL)","12.03 (Champaign, IL)","12.04 (Champaign, IL)","12.05 (Champaign, IL)","12.06 (Champaign, IL)","13.01 (Champaign, IL)","13.02 (Champaign, IL)","14 (Champaign, IL)","2 (Champaign, IL)","3.01 (Champaign, IL)","3.02 (Champaign, IL)","4.01 (Champaign, IL)","4.02 (Champaign, IL)","5 (Champaign, IL)","53 (Champaign, IL)","54.01 (Champaign, IL)","54.02 (Champaign, IL)","55 (Champaign, IL)","56.01 (Champaign, IL)","56.02 (Champaign, IL)","57.01 (Champaign, IL)","57.02 (Champaign, IL)","58 (Champaign, IL)","59.01 (Champaign, IL)","59.02 (Champaign, IL)","60 (Champaign, IL)","7 (Champaign, IL)","8 (Champaign, IL)","9.01 (Champaign, IL)","9.02 (Champaign, IL)"
"12.04 (Champaign, IL)",8.0,12.0,10.0,6.0,7.25,9.666666666666666,10.0,13.0,6.0,4.0,2.2,7.125,3.0,6.75,5.5,10.0,12.0,10.5,10.0,10.0,9.0,9.0,14.0,14.666666666666666,17.0,14.0,12.0,14.5,13.5,12.0,12.6,9.0,12.0,11.5,11.666666666666666,10.75,10.5,8.625
"12.05 (Champaign, IL)",9.0,10.0,14.0,8.0,9.5,13.0,12.0,14.666666666666666,7.0,5.333333333333333,7.818181818181818,4.390625,5.0,9.666666666666666,8.0,12.0,13.0,11.8,10.0,12.5,13.0,11.333333333333334,14.75,17.0,18.0,18.0,16.5,16.333333333333332,14.0,16.0,15.5,11.5,14.666666666666668,13.0,11.0,14.0,10.0,9.0
"12.06 (Champaign, IL)",6.0,,12.0,9.0,4.0,,9.0,14.5,4.5,2.0,1.5,3.0,3.0,8.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,7.0,14.0,14.0,,15.0,12.0,13.0,14.0,13.0,12.0,12.0,10.5,11.0,,12.0,11.0,6.5
"13.01 (Champaign, IL)",6.0,11.0,6.0,5.0,3.0,3.0,4.333333333333333,7.0,5.0,3.0,4.0,9.0,5.0,1.0,7.0,3.3125,7.5,5.0,7.0,5.333333333333334,3.0,3.0,9.4,9.0,13.75,10.8,11.0,11.0,7.0,11.0,6.0,5.5,6.333333333333333,5.0,5.5,8.666666666666666,5.75,6.5
"13.02 (Champaign, IL)",7.5,13.0,4.4,4.0,8.0,7.888888888888889,6.0,15.0,6.0,5.0,5.107142857142858,9.214285714285715,7.25,5.0,2.75,4.0,10.0,7.0,8.0,8.125,6.666666666666667,4.5,12.5,12.0,13.333333333333334,14.0,12.0,9.0,6.75,10.5,7.0,7.0,8.0,6.5,9.0,11.25,10.4,10.333333333333334
"14 (Champaign, IL)",9.75,12.333333333333334,5.0,6.0,3.0,5.015625,3.5,3.5,11.5,7.0,9.0,11.5,10.0,2.6666666666666665,3.4,1.6785714285714286,6.0,3.95,3.5,2.0,1.625,3.6875,6.75,7.75,16.0,11.0,8.0,6.0,7.0625,11.0,9.0,2.0,5.0,3.0,6.0,8.333333333333334,8.0,11.0
"2 (Champaign, IL)",4.0,8.5,12.0,11.0,7.0,2.0,2.0,4.0,8.333333333333334,11.0,11.0,12.0,12.0,4.5,12.0,5.0,1.0,2.0,1.25,2.0,2.3333333333333335,5.0,2.0,4.0,9.0,4.5,8.0,10.0,9.0,10.0,5.0,4.0,3.5,6.0,2.75,3.75,4.333333333333333,6.0
"3.01 (Champaign, IL)",5.75,11.0,11.0,9.0,4.333333333333333,3.0,1.5,3.9,5.0,9.0,9.0,10.5,10.0,4.333333333333333,6.5,4.0,2.0,0.8571428571428572,0.0,1.375,1.7000000000000002,2.0,6.0,5.0,10.0,5.6,4.0,9.5,7.166666666666666,9.0,4.8,3.0,2.7857142857142856,4.0,4.0,7.0,6.0,9.5
"3.02 (Champaign, IL)",4.0,7.0,10.5,10.0,6.5,2.0,4.0,2.125,7.333333333333333,8.1,11.0,9.0,11.0,5.5,7.0,4.090909090909091,1.25,1.0,1.0,1.0,1.75,3.0,3.0,7.0,9.0,5.0,6.0,9.0,7.0,12.0,5.0,3.0,2.6666666666666665,4.0,3.1875,8.0,5.0,9.0
"4.01 (Champaign, IL)",7.0,11.0,11.0,9.0,5.0,4.0,3.0,2.611111111111111,7.666666666666667,8.0,11.0,10.0,10.0,3.0,5.0,2.553571428571429,3.75,2.0,2.0,1.0,1.875,2.0,4.0,6.0,9.0,6.0,7.666666666666667,6.0,7.75,7.0,5.0,2.5625,2.4,3.3333333333333335,6.0,9.0,9.0,11.0
"4.02 (Champaign, IL)",6.75,11.0,10.0,10.0,3.0,3.2142857142857144,1.0,3.0,7.2,6.75,8.833333333333334,13.0,9.0,4.0,6.0,2.1640625,1.0,1.7222222222222223,2.0,1.8250000000000002,0.0,2.0,3.0,8.0,11.0,4.0,6.0,8.0,6.0,7.666666666666667,5.0,3.1363636363636362,2.7096774193548385,3.5,5.0,7.5,6.0,10.0
"5 (Champaign, IL)",4.0,9.5,7.25,6.0,2.25,1.5,1.9519230769230769,5.125,4.5,7.0,5.0,11.0,8.0,2.0,4.5,2.5,5.0,2.125,3.5,3.4,3.0,1.25,6.5,8.0,10.0,9.0,6.0,8.8,7.0,9.0,4.75,4.0,4.25,4.0,6.0,6.4,4.666666666666667,8.0
"53 (Champaign, IL)",7.0,2.0,13.5,14.0,8.0,6.0,5.0,2.875,12.0,14.333333333333334,14.714285714285714,14.5,14.0,8.0,10.0,7.115384615384615,2.25,4.0,6.0,5.2,5.75,5.666666666666667,2.236842105263158,5.0,9.0,6.0,6.0,8.5,6.0,9.666666666666666,4.0,5.25,5.153846153846154,6.75,3.6,6.928571428571429,6.0,10.5
"54.01 (Champaign, IL)",9.0,2.0,16.0,16.0,7.0,7.0,6.0,3.5,11.0,12.0,16.0,17.0,13.0,11.5,11.0,9.5,4.0,4.571428571428571,4.0,6.0,7.0,8.666666666666666,5.0,3.7,4.6,4.0,7.0,8.0,7.0,8.0,3.6666666666666665,3.0,4.0,8.0,6.0,7.666666666666667,8.5,9.0
"54.02 (Champaign, IL)",11.0,8.5,21.0,,14.0,8.75,9.0,6.0,13.5,15.5,16.0,17.0,17.0,11.0,15.0,10.0,7.0,7.0,8.0,9.0,10.0,10.0,7.5,5.0,4.0,7.0,8.5,8.0,11.0,13.0,6.9,8.0,10.0,8.0,8.0,8.0,7.0,11.0
"55 (Champaign, IL)",10.5,15.5,15.0,12.5,10.0,9.0,10.0,5.0,16.333333333333332,11.0,14.0,19.0,16.0,12.0,12.8,9.0,5.0,4.25,6.0,5.333333333333333,7.0,9.0,5.0,2.0,10.0,4.0,4.0,3.0,3.0,6.0,3.2,4.75,4.666666666666667,3.6666666666666665,12.0,12.5,14.0,11.5
"56.01 (Champaign, IL)",13.0,8.0,13.0,13.0,10.0,7.0,9.0,3.75,12.0,13.0,13.5,17.5,14.0,9.285714285714286,8.0,5.5,6.5,5.0,6.0,6.0,7.0,8.5,7.0,6.5,9.0,3.6794871794871797,1.6710526315789473,2.6875,4.0,6.0,3.3333333333333335,3.0,4.8,4.0,11.0,12.0,9.0,13.75
"56.02 (Champaign, IL)",12.0,14.25,10.0,11.0,12.0,10.5,9.0,7.0,11.125,11.5,14.0,14.0,13.0,8.333333333333334,6.0,6.0,10.5,10.5,12.0,11.0,7.0,9.0,8.0,6.0,8.0,2.5,3.75,2.0,4.142857142857143,9.0,6.5,5.0,6.0,10.0,14.0,14.0,13.0,17.0
"57.01 (Champaign, IL)",12.0,10.0,10.0,11.5,8.75,10.0,8.5,4.0,10.0,13.0,11.8,13.8,13.0,9.0,6.0,6.0,9.2,6.0,8.0,7.333333333333333,6.666666666666667,8.5,6.0,7.142857142857143,10.0,5.75,4.0,2.25,2.0384615384615383,4.8,3.7142857142857144,5.0,6.0,5.0,9.666666666666666,13.0,10.5,16.0
"57.02 (Champaign, IL)",15.0,22.0,14.0,12.0,11.666666666666666,13.0,9.666666666666666,7.0,12.0,10.0,13.0,16.5,13.0,11.0,11.0,7.0,11.0,11.0,11.0,9.5,6.0,9.5,9.0,10.0,13.0,6.0,5.0,3.5,4.0,4.142857142857143,6.125,5.0,8.0,6.0,12.0,15.0,14.75,15.75
"58 (Champaign, IL)",10.0,15.0,11.0,14.0,8.0,7.0,6.0,2.8333333333333335,9.0,11.5,12.0,14.5,12.0,8.0,7.0,4.65,4.0,3.2777777777777777,3.5555555555555554,3.2222222222222223,4.5,4.5,6.0,4.75,8.0,5.0,3.0,7.0,4.125,6.0,1.5961538461538463,2.0,2.0,3.25,9.0,8.75,9.0,10.0
"59.01 (Champaign, IL)",8.75,11.0,11.5,8.0,8.0,7.0,4.0,4.0,9.0,7.4,12.0,12.333333333333334,12.0,4.5,6.0,3.2,4.0,2.5625,2.0,2.55,2.8571428571428568,4.0,4.75,5.0,7.666666666666667,2.0,3.4545454545454546,5.0,4.0,5.0,2.375,1.0,2.0,1.0,6.0,8.0,9.375,13.0
"59.02 (Champaign, IL)",8.0,11.0,10.0,10.0,5.0,5.125,3.25,2.0,9.0,8.375,12.0,13.0,12.0,7.0,7.25,3.825581395348837,4.0,4.0,2.0,2.0,2.9375,4.0,6.0,4.75,8.0,3.0,4.5,11.0,4.0,8.0,2.0,1.125,1.6111111111111112,3.0,5.6,7.0,7.5,12.0
"60 (Champaign, IL)",8.0,11.0,9.0,10.0,5.0,7.0,6.0,3.5,8.0,8.666666666666666,9.0,14.5,,3.0,6.0,2.857142857142857,7.0,4.5,3.0,2.0,3.5,6.0,4.0,8.0,9.0,4.0,3.8,5.0,4.2,6.0,4.0,1.5,5.0,3.5,7.0,8.0,10.0,14.0
"7 (Champaign, IL)",6.0,8.0,11.0,11.5,2.0,2.75,2.25,4.0,6.25,10.0,9.0,12.0,12.0,8.5,9.0,5.583333333333333,2.75,4.0,3.0,5.5,4.0,3.6666666666666665,4.333333333333333,7.0,8.0,8.0,9.0,11.0,11.0,11.5,8.0,5.5,5.285714285714286,7.0,1.5555555555555556,3.3076923076923075,3.357142857142857,5.0
"8 (Champaign, IL)",6.0,4.0,13.0,13.75,6.0,7.0,5.166666666666666,6.0,7.0,10.0,14.0,11.5,12.0,7.0,10.0,8.444444444444445,4.25,6.6,5.0,7.0,6.0,6.3125,6.8,12.0,9.5,10.166666666666666,11.5,15.5,11.5,15.0,7.0,7.5,8.071428571428571,8.8,8.5,3.0,4.25,6.794871794871796
"9.01 (Champaign, IL)",3.5,5.0,13.0,12.0,5.0,5.0,4.666666666666667,9.0,5.730769230769231,10.0,9.714285714285714,10.0,11.0,6.333333333333334,10.0,7.625,6.0,6.6,5.5,8.0,7.0,7.333333333333333,6.2,7.0,8.0,10.25,11.0,12.0,10.0,15.0,9.0,8.5,8.2,11.0,1.5,4.375,2.28,3.7083333333333335
"9.02 (Champaign, IL)",4.083333333333333,9.4,17.0,15.0,5.9375,6.5,8.5,9.75,6.3125,7.833333333333333,9.0,9.25,6.0,10.0,12.5,10.25,10.666666666666666,8.714285714285714,8.0,11.125,12.0,7.0,10.428571428571429,12.0,13.0,13.5,11.0,16.666666666666668,15.0,16.0,12.5,12.75,11.714285714285714,13.0,3.25,7.888888888888889,4.222222222222222,2.0
